rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_disc,pl_status,pl_mnum,pl_pelink,pl_edelink,st_plx,st_plxerr,st_plxlim,st_plxblend,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_sp,st_spstr,st_sperr,st_splim,st_spblend
11,24 Sex,c,Radial Velocity,2,883,32.4,-13.8,0,0.29,0.16,-0.09,0,,,,,,,,,,,,,,,,,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,5098,44,0,0,1.54,0.08,0,0,4.9,0.08,0,0,HD 90043,HIP 50887,24 Sex c,0,1,0,0,0,0,,,,,,,,,,,,,2010,3,0,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,13.37,0.87,0,0,65.7,0.9,0,-35.1,0.9,0,5,K0 IV,,0,0
12,30 Ari B,b,Radial Velocity,1,335.1,2.5,-2.5,0,0.289,0.092,-0.092,0,,,,,,,,,,,,,,,,,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,0,6300,60,0,0,1.16,0.04,0,0,1.13,0.03,0,0,HD 16232,HIP 12184,30 Ari B b,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b,25.36,1.1,0,0,142.6,1,0,-13.5,0.9,0,3.6,F6 V,,0,0
13,42 Dra,b,Radial Velocity,1,479.1,6.2,-6.2,0,0.38,0.06,-0.06,0,,,,,,,,,,,,,,,,,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,0,4200,70,0,0,0.98,0.05,0,0,22.03,1,0,0,HD 170693,HIP 90344,42 Dra b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b,10.28,0.48,0,0,105.1,1,0,-26.9,1.1,0,5.15,K1.5 III,,0,0
14,47 UMa,b,Radial Velocity,3,1078,2,-2,0,0.032,0.014,-0.014,0,,,,,,,,,,,,,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5892,70,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,47 UMa b,0,1,0,0,0,0,,,,,,,,,,,,,1996,3,0,http://exoplanet.eu/catalog/47_uma_b/,http://exoplanets.org/detail/47_UMa_b,71.04,0.66,0,0,-317.2,0.7,0,56.6,0.7,0,4,G0 V,,0,0
15,47 UMa,c,Radial Velocity,3,2391,100,-87,0,0.098,0.047,-0.096,0,,,,,,,,,,,,,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5892,70,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,47 UMa c,0,1,0,0,0,0,,,,,,,,,,,,,2001,3,0,http://exoplanet.eu/catalog/47_uma_c/,http://exoplanets.org/detail/47_UMa_c,71.04,0.66,0,0,-317.2,0.7,0,56.6,0.7,0,4,G0 V,,0,0
16,47 UMa,d,Radial Velocity,3,14002,4018,-5095,0,0.16,0.09,-0.16,0,,,,,,,,,,,,,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,0,5892,70,0,0,1.03,0.05,0,0,1.23,,0,0,HD 95128,HIP 53721,47 UMa d,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/47_uma_d/,,71.04,0.66,0,0,-317.2,0.7,0,56.6,0.7,0,4,G0 V,,0,0
17,51 Peg,b,Radial Velocity,1,4.230785,0.000036,-0.000036,0,0.013,0.012,-0.012,0,,,,,,,,,,,,,,,,,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,0.18,-0.18,0,5793,70,0,0,1.12,0.06,0,0,1.2,,0,0,HD 217014,HIP 113357,51 Peg b,0,1,0,0,0,0,,,,,,,,,,,,,1995,3,0,http://exoplanet.eu/catalog/51_peg_b/,http://exoplanets.org/detail/51_Peg_b,65.1,0.76,0,0,207.9,0.7,0,59.8,0.6,0,4.25,G2.5 IV,,0,0
18,55 Cnc,b,Radial Velocity,5,14.65152,0.00015,-0.00015,0,0.0034,0.0032,-0.0032,0,0.8306,0.0033,-0.0033,0,,,,,,,,,90,,,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc b,0,1,0,0,0,0,263.9785,1.0488,-1.0488,0,,,,,,,,,1996,3,0,http://exoplanet.eu/catalog/55_cnc_b/,http://exoplanets.org/detail/55_Cnc_b,79.8,0.84,0,0,-484.8,0.7,0,-233.5,0.7,0,5,K0 IV-V,,0,0
19,55 Cnc,c,Radial Velocity,5,,,,,,,,,,,,,,,,,,,,,,,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc c,0,1,0,0,0,0,,,,,,,,,,,,,2004,3,0,http://exoplanet.eu/catalog/55_cnc_c/,http://exoplanets.org/detail/55_Cnc_c,79.8,0.84,0,0,-484.8,0.7,0,-233.5,0.7,0,5,K0 IV-V,,0,0
20,55 Cnc,d,Radial Velocity,5,4825,39,-39,0,0.019,0.013,-0.013,0,3.878,0.068,-0.068,0,,,,,,,,,90,,,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,0,5196,24,0,0,0.91,0.01,0,0,0.94,0.01,0,0,HD 75732,HIP 43587,55 Cnc d,0,1,0,0,0,0,1232.493,21.612,-21.612,0,,,,,,,,,2002,3,0,http://exoplanet.eu/catalog/55_cnc_d/,http://exoplanets.org/detail/55_Cnc_d,79.8,0.84,0,0,-484.8,0.7,0,-233.5,0.7,0,5,K0 IV-V,,0,0
