rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_disc,pl_status,pl_mnum,pl_pelink,pl_edelink,st_plx,st_plxerr,st_plxlim,st_plxblend,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_sp,st_spstr,st_sperr,st_splim,st_spblend
288,HD 31253,b,Radial Velocity,1,466,3,-3,0,0.3,0.2,-0.2,0,,,,,,,,,,,,,,,,,04h54m43.65s,73.681892,+12d21m07.9s,12.352201,53.82,3.06,-3.45,0,,,,,,,,,,,,,HD 31253,HIP 22826,HD 31253 b,0,1,0,0,0,0,,,,,,,,,,,,,2010,3,0,http://exoplanet.eu/catalog/hd_31253_b/,http://exoplanets.org/detail/HD_31253_b,18.58,1.12,0,0,89.4,1.2,0,-40,1.2,0,3.8,F8,,0,0
289,HD 32518,b,Radial Velocity,1,157.54,0.38,-0.38,0,0.01,0.03,-0.03,0,,,,,,,,,,,,,,,,,05h09m36.72s,77.403,+69d38m21.9s,69.639404,117.37,9.84,-11.83,0,4580,70,0,0,1.13,0.18,0,0,10.22,0.87,0,0,HD 32518,HIP 24003,HD 32518 b,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/hd_32518_b/,http://exoplanets.org/detail/HD_32518_b,8.52,0.78,0,0,61,1,0,-61.7,1.1,0,5.1,K1 III,,0,0
290,HD 33142,b,Radial Velocity,1,326.6,3.9,-3.9,0,0.12,,,0,,,,,,,,,,,,,,,,,05h07m35.54s,76.898087,-13d59m11.3s,-13.98648,136.8,15.73,-20.43,0,,,,,,,,,,,,,HD 33142,HIP 23844,HD 33142 b,0,1,0,0,0,0,,,,,,,,,,,,,2011,3,0,http://exoplanet.eu/catalog/hd_33142_b/,http://exoplanets.org/detail/HD_33142_b,7.31,0.95,0,0,-7.1,1.2,0,33.9,1.1,0,5,K0 III,,0,0
291,HD 33283,b,Radial Velocity,1,18.179,0.007,-0.007,0,0.48,0.05,-0.05,0,,,,,,,,,,,,,,,,,05h08m01.01s,77.004219,-26d47m50.9s,-26.797472,86.88,6.3,-7.37,0,,,,,,,,,,,,,HD 33283,HIP 23889,HD 33283 b,0,1,0,0,0,0,,,,,,,,,,,,,2006,3,0,http://exoplanet.eu/catalog/hd_33283_b/,http://exoplanets.org/detail/HD_33283_b,11.51,0.9,0,0,57.8,1.2,0,-46.3,1.2,0,4.4,G3/5 V,,0,0
292,HD 33564,b,Radial Velocity,1,388,3,-3,0,0.34,0.02,-0.02,0,,,,,,,,,,,,,,,,,05h22m33.53s,80.639717,+79d13m52.1s,79.231148,20.98,0.23,-0.23,0,,,,,,,,,,,,,HD 33564,HIP 25110,HD 33564 b,0,1,0,0,0,0,,,,,,,,,,,,,2005,3,0,http://exoplanet.eu/catalog/hd_33564_b/,http://exoplanets.org/detail/HD_33564_b,47.66,0.52,0,0,-78.5,0.7,0,161,0.7,0,3.7,F7 V,,0,0
293,HD 34445,b,Radial Velocity,1,1049,11,-11,0,0.27,0.07,-0.07,0,,,,,,,,,,,,,,,,,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,45.01,2.03,-2.23,0,,,,,,,,,,,,,HD 34445,HIP 24681,HD 34445 b,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/hd_34445_b/,http://exoplanets.org/detail/HD_34445_b,22.22,1.05,0,0,-1.9,1.4,0,-148.5,1.6,0,4,G0,,0,0
294,HD 37124,b,Radial Velocity,3,154.46,0.369,-0.369,0,0.055,,,0,,,,,,,,,,,,,,,,,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,1.22,-1.32,0,,,,,,,,,,,,,HD 37124,HIP 26381,HD 37124 b,0,1,0,0,0,0,,,,,,,,,,,,,2002,3,0,http://exoplanet.eu/catalog/hd_37124_b/,http://exoplanets.org/detail/HD_37124_b,30.08,1.15,0,0,-79.75,1.37,0,-419.96,0.88,0,4,G0,,0,0
295,HD 37124,c,Radial Velocity,3,2295,,,0,0.2,,,0,,,,,,,,,,,,,,,,,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,1.22,-1.32,0,,,,,,,,,,,,,HD 37124,HIP 26381,HD 37124 c,0,1,0,0,0,0,,,,,,,,,,,,,2002,3,0,http://exoplanet.eu/catalog/hd_37124_c/,http://exoplanets.org/detail/HD_37124_c,30.08,1.15,0,0,-79.75,1.37,0,-419.96,0.88,0,4,G0,,0,0
296,HD 37124,d,Radial Velocity,3,843.6,,,0,0.14,,,0,,,,,,,,,,,,,,,,,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,33.24,1.22,-1.32,0,,,,,,,,,,,,,HD 37124,HIP 26381,HD 37124 d,0,1,0,0,0,0,,,,,,,,,,,,,2005,3,0,http://exoplanet.eu/catalog/hd_37124_d/,http://exoplanets.org/detail/HD_37124_d,30.08,1.15,0,0,-79.75,1.37,0,-419.96,0.88,0,4,G0,,0,0
297,HD 37605,b,Radial Velocity,2,55,0.1,-0.1,0,0.677,0.0085,-0.0085,0,,,,,,,,,,,,,,,,,05h40m01.73s,85.00721,+06d03m38.1s,6.060579,42.88,2.28,-2.55,0,5448,44,0,0,1,0.05,0,0,0.9,0.04,0,0,HD 37605,HIP 26664,HD 37605 b,0,1,0,0,0,0,,,,,,,,,,,,,2004,3,0,http://exoplanet.eu/catalog/hd_37605_b/,http://exoplanets.org/detail/HD_37605_b,23.32,1.31,0,0,54.1,1.5,0,-246.3,1.5,0,5,K0 V,,0,0
298,HD 37605,c,Radial Velocity,2,2720,57,-57,0,0.013,0.015,-0.015,0,,,,,,,,,,,,,,,,,05h40m01.73s,85.00721,+06d03m38.1s,6.060579,42.88,2.28,-2.55,0,5448,44,0,0,1,0.05,0,0,0.9,0.04,0,0,HD 37605,HIP 26664,HD 37605 c,0,1,0,0,0,0,,,,,,,,,,,,,2012,3,0,http://exoplanet.eu/catalog/hd_37605_c/,http://exoplanets.org/detail/HD_37605_c,23.32,1.31,0,0,54.1,1.5,0,-246.3,1.5,0,5,K0 V,,0,0
299,HD 38283,b,Radial Velocity,1,363.2,1.6,-1.6,0,0.41,0.16,-0.16,0,0.34,0.02,-0.02,0,,,,,,,,,,,,,05h37m02.02s,84.258408,-73d41m57.6s,-73.699341,37.78,0.78,-0.82,0,,,,,,,,,,,,,HD 38283,HIP 26380,HD 38283 b,0,1,0,0,0,0,108.058,6.35633,-6.35633,0,,,,,,,,,2010,3,0,http://exoplanet.eu/catalog/hd_38283_b/,http://exoplanets.org/detail/HD_38283_b,26.47,0.56,0,0,138.4,1.5,0,-107.9,1.3,0,4.05,G0/1 V,,0,0
300,HD 38529,b,Radial Velocity,2,14.3098,0.0005,-0.0005,0,0.257,0.015,-0.015,0,,,,,,,,,,,,,,,,,05h46m34.91s,86.64547,+01d10m05.5s,1.168193,42.43,1.59,-1.72,0,,,,,,,,,,,,,HD 38529,HIP 27253,HD 38529 b,0,1,0,0,0,0,,,,,,,,,,,,,2000,3,0,http://exoplanet.eu/catalog/hd_38529_b/,http://exoplanets.org/detail/HD_38529_b,23.57,0.92,0,0,-79.3,0.9,0,-140.6,1,0,4.8,G8 III/IV,,0,0
301,HD 38529,c,Radial Velocity,2,2140.2,5.7,-5.7,0,0.341,0.005,-0.005,0,,,,,,,,,,,,,,,,,05h46m34.91s,86.64547,+01d10m05.5s,1.168193,42.43,1.59,-1.72,0,,,,,,,,,,,,,HD 38529,HIP 27253,HD 38529 c,0,1,0,0,0,0,,,,,,,,,,,,,2000,3,0,http://exoplanet.eu/catalog/hd_38529_c/,http://exoplanets.org/detail/HD_38529_c,23.57,0.92,0,0,-79.3,0.9,0,-140.6,1,0,4.8,G8 III/IV,,0,0
302,HD 38801,b,Radial Velocity,1,696.3,2.7,-2.7,0,0,,,,,,,,,,,,,,,,,,,,05h47m59.18s,86.996567,-08d19m39.7s,-8.3277,99.4,14.66,-20.79,0,,,,,,,,,,,,,HD 38801,HIP 27384,HD 38801 b,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/hd_38801_b/,http://exoplanets.org/detail/HD_38801_b,10.06,1.74,0,0,-55.7,1.1,0,-75.4,1.1,0,4.8,G8 IV,,0,0
303,HD 39091,b,Radial Velocity,1,2063.818,,,0,0.62,,,0,,,,,,,,,,,,,,,,,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124,18.21,0.15,-0.15,0,,,,,,,,,,,,,HD 39091,HIP 26394,HD 39091 b,0,1,0,0,0,0,,,,,,,,,,,,,2001,3,0,http://exoplanet.eu/catalog/hd_39091_b/,http://exoplanets.org/detail/HD_39091_b,54.92,0.45,0,0,311.97,0.46,0,1050.19,0.54,0,4.1,G1 V,,0,0
304,HD 40307,b,Radial Velocity,6,4.3123,0.0011,-0.0012,0,0.2,0.14,-0.16,0,,,,,,,,,,,,,,,,,05h54m04.24s,88.51767,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,4956,50,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,HD 40307 b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_40307_b/,http://exoplanets.org/detail/HD_40307_b,77.95,0.53,0,0,-52.5,1.2,0,-59.7,1.2,0,5.25,K2.5 V,,0,0
305,HD 40307,c,Radial Velocity,6,9.6184,0.005,-0.0049,0,0.06,0.11,-0.06,0,,,,,,,,,,,,,,,,,05h54m04.24s,88.51767,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,4956,50,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,HD 40307 c,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_40307_c/,http://exoplanets.org/detail/HD_40307_c,77.95,0.53,0,0,-52.5,1.2,0,-59.7,1.2,0,5.25,K2.5 V,,0,0
306,HD 40307,d,Radial Velocity,6,20.432,0.022,-0.024,0,0.07,0.11,-0.07,0,,,,,,,,,,,,,,,,,05h54m04.24s,88.51767,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,4956,50,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,HD 40307 d,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_40307_d/,http://exoplanets.org/detail/HD_40307_d,77.95,0.53,0,0,-52.5,1.2,0,-59.7,1.2,0,5.25,K2.5 V,,0,0
307,HD 40307,e,Radial Velocity,6,34.62,0.21,-0.2,0,0.15,0.13,-0.15,0,,,,,,,,,,,,,,,,,05h54m04.24s,88.51767,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,4956,50,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,HD 40307 e,0,1,0,0,0,0,,,,,,,,,,,,,2012,3,0,http://exoplanet.eu/catalog/hd_40307_e/,,77.95,0.53,0,0,-52.5,1.2,0,-59.7,1.2,0,5.25,K2.5 V,,0,0
308,HD 40307,f,Radial Velocity,6,51.76,0.5,-0.46,0,0.02,0.2,-0.02,0,,,,,,,,,,,,,,,,,05h54m04.24s,88.51767,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,4956,50,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,HD 40307 f,0,1,0,0,0,0,,,,,,,,,,,,,2012,3,0,http://exoplanet.eu/catalog/hd_40307_f/,,77.95,0.53,0,0,-52.5,1.2,0,-59.7,1.2,0,5.25,K2.5 V,,0,0
309,HD 40307,g,Radial Velocity,6,197.8,5.7,-9,0,0.29,0.31,-0.29,0,,,,,,,,,,,,,,,,,05h54m04.24s,88.51767,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,4956,50,0,0,0.77,0.05,0,0,,,,,HD 40307,HIP 27887,HD 40307 g,0,1,0,0,0,0,,,,,,,,,,,,,2012,3,0,http://exoplanet.eu/catalog/hd_40307_g/,,77.95,0.53,0,0,-52.5,1.2,0,-59.7,1.2,0,5.25,K2.5 V,,0,0
310,HD 40979,b,Radial Velocity,1,264.15,0.23,-0.23,0,0.252,0.014,-0.014,0,,,,,,,,,,,,,,,,,06h04m29.94s,91.124763,+44d15m37.6s,44.260445,33.33,0.89,-0.94,0,,,,,,,,,,,,,HD 40979,HIP 28767,HD 40979 b,0,1,0,0,0,0,,,,,,,,,,,,,2002,3,0,http://exoplanet.eu/catalog/hd_40979_b/,http://exoplanets.org/detail/HD_40979_b,30,0.82,0,0,97,1,0,-153.7,1.1,0,3.8,F8,,0,0
311,HD 41004 A,b,Radial Velocity,1,963,38,-38,0,0.39,0.17,-0.17,0,,,,,,,,,,,,,,,,,05h59m49.65s,89.956871,-48d14m22.9s,-48.239693,43.03,1.81,-1.98,0,,,,,,,,,,,,,HD 41004 A,HIP 28393 A,HD 41004 A b,0,1,0,0,0,0,,,,,,,,,,,,,2004,3,0,http://exoplanet.eu/catalog/hd_41004_a_b/,,23.24,1.02,0,0,-42.2,1.2,0,66.5,1.1,0,,,,,
312,HD 41004 B,b,Radial Velocity,1,1.3283,0.000012,-0.000012,0,0.081,0.012,-0.012,0,,,,,,,,,,,,,,,,,05h59m49.65s,89.956886,-48d14m23.4s,-48.239841,43.03,1.81,-1.98,0,,,,,,,,,,,,,HD 41004 B,HIP 28393 B,HD 41004 B b,0,1,0,0,0,0,,,,,,,,,,,,,2003,3,0,http://exoplanet.eu/catalog/hd_41004_b_b/,http://exoplanets.org/detail/HD_41004_B_b,23.24,1.02,0,0,-42.27,1.08,0,65.16,1.15,0,6.2,M2 V,,0,0
313,HD 43197,b,Radial Velocity,1,327.8,,,0,,,,,,,,,,,,,,,,,,,,,06h13m35.66s,93.39859,-29d53m50.2s,-29.89727,54.94,5.88,-7.48,0,,,,,,,,,,,,,HD 43197,HIP 29550,HD 43197 b,0,1,0,0,0,0,,,,,,,,,,,,,2010,3,0,http://exoplanet.eu/catalog/hd_43197_b/,http://exoplanets.org/detail/HD_43197_b,18.2,2.18,0,0,145.6,1.9,0,16.5,1.4,0,4.9,G8/K0 IV/V,,0,0
314,HD 43691,b,Radial Velocity,1,36.96,0.02,-0.02,0,0.14,0.02,-0.02,0,,,,,,,,,,,,,,,,,06h19m34.68s,94.894485,+41d05m32.3s,41.092304,93.2,9.09,-11.3,0,,,,,,,,,,,,,HD 43691,HIP 30057,HD 43691 b,0,1,0,0,0,0,,,,,,,,,,,,,2007,3,0,http://exoplanet.eu/catalog/hd_43691_b/,http://exoplanets.org/detail/HD_43691_b,10.73,1.16,0,0,22.8,0.9,0,-52,1.1,0,4,G0,,0,0
315,HD 44219,b,Radial Velocity,1,472,,,0,,,,,,,,,,,,,,,,,,,,,06h20m14.32s,95.059677,-10d43m30.0s,-10.725009,50.43,2.47,-2.73,0,,,,,,,,,,,,,HD 44219,HIP 30114,HD 44219 b,0,1,0,0,0,0,,,,,,,,,,,,,2010,3,0,http://exoplanet.eu/catalog/hd_44219_b/,http://exoplanets.org/detail/HD_44219_b,19.83,1.02,0,0,72.8,1.3,0,-15,1.3,0,4.3,G3 V,,0,0
316,HD 45364,b,Radial Velocity,2,226.93,0.37,-0.37,0,0.1684,0.019,-0.019,0,,,,,,,,,,,,,,,,,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,32.58,0.84,-0.88,0,,,,,,,,,,,,,HD 45364,HIP 30579,HD 45364 b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_45364_b/,http://exoplanets.org/detail/HD_45364_b,30.69,0.81,0,0,54.9,1.3,0,-11,1.3,0,5,K0 V,,0,0
317,HD 45364,c,Radial Velocity,2,342.85,0.28,-0.28,0,0.0974,0.012,-0.012,0,,,,,,,,,,,,,,,,,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,32.58,0.84,-0.88,0,,,,,,,,,,,,,HD 45364,HIP 30579,HD 45364 c,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_45364_c/,http://exoplanets.org/detail/HD_45364_c,30.69,0.81,0,0,54.9,1.3,0,-11,1.3,0,5,K0 V,,0,0
318,HD 45350,b,Radial Velocity,1,890.76,37.42,-37.42,0,0.778,0.009,-0.009,0,,,,,,,,,,,,,,,,,06h28m45.71s,97.19046,+38d57m46.7s,38.962963,48.95,2.24,-2.47,0,,,,,,,,,,,,,HD 45350,HIP 30860,HD 45350 b,0,1,0,0,0,0,,,,,,,,,,,,,2004,3,0,http://exoplanet.eu/catalog/hd_45350_b/,http://exoplanets.org/detail/HD_45350_b,20.43,0.98,0,0,-42.3,0.9,0,-53.5,1,0,4.5,G5,,0,0
319,HD 45652,b,Radial Velocity,1,43.6,0.2,-0.2,0,0.38,0.06,-0.06,0,,,,,,,,,,,,,,,,,06h29m13.19s,97.304962,+10d56m02.0s,10.933891,36.14,1.61,-1.77,0,,,,,,,,,,,,,HD 45652,HIP 30905,HD 45652 b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_45652_b/,http://exoplanets.org/detail/HD_45652_b,27.67,1.29,0,0,207.2,1,0,-61.2,1,0,5.5,K5,,0,0
320,HD 46375,b,Radial Velocity,1,3.024,,,0,0.04,,,0,,,,,,,,,,,,,,,,,06h33m12.62s,98.302597,+05d27m46.5s,5.462925,33.41,1.15,-1.24,0,,,,,,,,,,,,,HD 46375,HIP 31246,HD 46375 b,0,1,0,0,0,0,,,,,,,,,,,,,2000,3,0,http://exoplanet.eu/catalog/hd_46375_b/,http://exoplanets.org/detail/HD_46375_b,29.93,1.07,0,0,120.1,2.1,0,-97.9,2.1,0,5,K0 V,,0,0
321,HD 47186,b,Radial Velocity,2,4.0845,0.0002,-0.0002,0,0.038,0.02,-0.02,0,,,,,,,,,,,,,,,,,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.84,1.21,-1.29,0,,,,,,,,,,,,,HD 47186,HIP 31540,HD 47186 b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_47186_b/,http://exoplanets.org/detail/HD_47186_b,26.43,0.87,0,0,22.1,1.4,0,-260.9,1.4,0,4.5,G5 V,,0,0
322,HD 47186,c,Radial Velocity,2,1353.6,57.1,-57.1,0,0.249,0.073,-0.073,0,,,,,,,,,,,,,,,,,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.84,1.21,-1.29,0,,,,,,,,,,,,,HD 47186,HIP 31540,HD 47186 c,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_47186_c/,http://exoplanets.org/detail/HD_47186_c,26.43,0.87,0,0,22.1,1.4,0,-260.9,1.4,0,4.5,G5 V,,0,0
323,HD 47536,b,Radial Velocity,1,430,,,0,0.2,0.08,-0.08,0,,,,,,,,,,,,,,,,,06h37m47.62s,99.44841,-32d20m23.0s,-32.339733,121.36,7.72,-8.85,0,,,,,,,,,,,,,HD 47536,HIP 31688,HD 47536 b,0,1,0,0,0,0,,,,,,,,,,,,,2002,3,0,http://exoplanet.eu/catalog/hd_47536_b/,,8.24,0.56,0,0,108.7,1.2,0,66.6,1.2,0,5.1,K1 III,,0,0
324,HD 48265,b,Radial Velocity,1,700,8,-8,0,0.18,0.13,-0.13,0,,,,,,,,,,,,,,,,,06h40m01.73s,100.007195,-48d32m31.0s,-48.541954,87.41,5.18,-5.87,0,,,,,,,,,,,,,HD 48265,HIP 31895,HD 48265 b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_48265_b/,http://exoplanets.org/detail/HD_48265_b,11.44,0.72,0,0,25.7,1,0,30.2,1,0,4.5,G5 IV/V,,0,0
325,HD 49674,b,Radial Velocity,1,4.9437,0.0023,-0.0023,0,0.23,0.15,-0.15,0,,,,,,,,,,,,,,,,,06h51m30.52s,102.877151,+40d52m03.9s,40.867756,40.73,1.81,-1.98,0,,,,,,,,,,,,,HD 49674,HIP 32916,HD 49674 b,0,1,0,0,0,0,,,,,,,,,,,,,2002,3,0,http://exoplanet.eu/catalog/hd_49674_b/,http://exoplanets.org/detail/HD_49674_b,24.55,1.14,0,0,34.9,0.7,0,-124.2,0.8,0,4,G0,,0,0
326,HD 50499,b,Radial Velocity,1,2582.7,110,-110,0,0.23,0.14,-0.14,0,,,,,,,,,,,,,,,,,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,47.26,1.47,-1.57,0,,,,,,,,,,,,,HD 50499,HIP 32970,HD 50499 b,0,1,0,0,0,0,,,,,,,,,,,,,2005,3,0,http://exoplanet.eu/catalog/hd_50499_b/,http://exoplanets.org/detail/HD_50499_b,21.16,0.68,0,0,-70.3,1.2,0,68,1.2,0,4.1,G0/2 V,,0,0
327,HD 50554,b,Radial Velocity,1,1279,41,-41,0,0.42,0.03,-0.03,0,,,,,,,,,,,,,,,,,06h54m42.82s,103.678436,+24d14m44.0s,24.245558,31.03,0.94,-1,0,,,,,,,,,,,,,HD 50554,HIP 33212,HD 50554 b,0,1,0,0,0,0,,,,,,,,,,,,,2002,3,0,http://exoplanet.eu/catalog/hd_50554_b/,http://exoplanets.org/detail/HD_50554_b,32.23,1.01,0,0,-36.5,0.8,0,-96.8,0.8,0,3.8,F8,,0,0
328,HD 52265,b,Radial Velocity,1,118.96,0.1,-0.1,0,0.29,0.04,-0.04,0,,,,,,,,,,,,,,,,,07h00m18.04s,105.07515,-05d22m01.8s,-5.367162,28.07,0.65,-0.68,0,,,,,,,,,,,,,HD 52265,HIP 33719,HD 52265 b,0,1,0,0,0,0,,,,,,,,,,,,,2000,3,0,http://exoplanet.eu/catalog/hd_52265_b/,http://exoplanets.org/detail/HD_52265_b,35.63,0.84,0,0,-114.8,1.3,0,81.5,1.2,0,4,G0 V,,0,0
329,HD 60532,b,Radial Velocity,2,201.3,0.6,-0.6,0,0.28,0.03,-0.03,0,,,,,,,,,,,,,,,,,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.7,0.43,-0.44,0,6095,,0,0,1.44,0.03,0,0,,,,,HD 60532,HIP 36795,HD 60532 b,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_60532_b/,http://exoplanets.org/detail/HD_60532_b,38.91,0.66,0,0,-40.38,0.57,0,46.84,0.7,0,3.6,F6 IV,,0,0
330,HD 60532,c,Radial Velocity,2,604,9,-9,0,0.02,0.02,-0.02,0,,,,,,,,,,,,,,,,,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.7,0.43,-0.44,0,6095,,0,0,1.44,0.03,0,0,,,,,HD 60532,HIP 36795,HD 60532 c,0,1,0,0,0,0,,,,,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/hd_60532_c/,http://exoplanets.org/detail/HD_60532_c,38.91,0.66,0,0,-40.38,0.57,0,46.84,0.7,0,3.6,F6 IV,,0,0
331,HD 63454,b,Radial Velocity,1,2.817822,0.000095,-0.000095,0,0,,,0,,,,,,,,,,,,,,,,,07h39m21.85s,114.841049,-78d16m44.3s,-78.278969,35.8,1.07,-1.14,0,,,,,,,,,,,,,HD 63454,HIP 37284,HD 63454 b,0,1,0,0,0,0,,,,,,,,,,,,,2005,3,0,http://exoplanet.eu/catalog/hd_63454_b/,http://exoplanets.org/detail/HD_63454_b,27.93,0.86,0,0,-20.5,1.2,0,-39.6,1.2,0,5.4,K4 V,,0,0
332,HD 62509,b,Radial Velocity,1,589.64,0.81,-0.81,0,0.02,0.03,-0.03,0,,,,,,,,,,,,,,,,,07h45m18.95s,116.328957,+28d01m34.3s,28.026199,10.34,0.09,-0.09,0,,,,,,,,,,,,,HD 62509,HIP 37826,HD 62509 b,0,1,0,0,0,0,,,,,,,,,,,,,2006,3,0,http://exoplanet.eu/catalog/hd_62509_b/,http://exoplanets.org/detail/beta_Gem_b,96.74,0.87,0,0,-625.69,1.02,0,-45.95,0.53,0,5,K0 III,,0,0
333,HD 63765,b,Radial Velocity,1,358,1,-1,0,0.24,0.043,-0.043,0,,,,,,,,,,,,,,,,,07h47m49.72s,116.957161,-54d15m50.9s,-54.264145,32.62,0.72,-0.75,0,,,,,,,,,,,,,HD 63765,HIP 38041,HD 63765 b,0,1,0,0,0,0,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/hd_63765_b/,http://exoplanets.org/detail/HD_63765_b,30.66,0.69,0,0,146.9,1.4,0,-281.8,1.8,0,4.6,G6 IV/V,,0,0
334,HD 65216,b,Radial Velocity,2,572.4,2.1,-2.1,0,0,0.02,-0.02,0,,,,,,,,,,,,,,,,,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.59,0.85,-0.9,0,5666,,0,0,0.92,,0,0,,,,,HD 65216,HIP 38558,HD 65216 b,0,1,0,0,0,0,,,,,,,,,,,,,2003,3,0,http://exoplanet.eu/catalog/hd_65216_b/,http://exoplanets.org/detail/HD_65216_b,28.1,0.69,0,0,-124.6,7,0,144.5,6.6,0,4.5,G5 V,,0,0
335,HD 65216,c,Radial Velocity,2,152.6,0.6,-0.6,0,0.02,0.1,-0.1,0,,,,,,,,,,,,,,,,,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.59,0.85,-0.9,0,5666,,0,0,0.92,,0,0,,,,,HD 65216,HIP 38558,HD 65216 c,0,1,0,0,0,0,,,,,,,,,,,,,2011,3,0,http://exoplanet.eu/catalog/hd_65216_c/,,28.1,0.69,0,0,-124.6,7,0,144.5,6.6,0,4.5,G5 V,,0,0
336,HD 66141,b,Radial Velocity,1,480.5,0.5,-0.5,0,0.07,0.03,-0.03,0,,,,,,,,,,,,,,,,,08h02m15.94s,120.566406,+02d20m04.5s,2.334571,80.06,5.82,-6.82,0,4323,15,0,0,1.1,0.1,0,0,21.4,0.6,0,0,HD 66141,HIP 39311,HD 66141 b,0,1,0,0,0,0,,,,,,,,,,,,,2012,3,0,http://exoplanet.eu/catalog/hd_66141_b/,,12.49,0.98,0,0,-28.5,1,0,106.6,1,0,5.2,K2 III,,0,0
337,HD 66428,b,Radial Velocity,1,1973,31,-31,0,0.465,0.03,-0.03,0,,,,,,,,,,,,,,,,,08h03m28.67s,120.869438,-01d09m45.8s,-1.162709,55.04,3.52,-4.03,0,5752,,0,0,1.1,,0,0,,,,0,HD 66428,HIP 39417,HD 66428 b,0,1,0,0,0,0,,,,,,,,,,,,,2005,3,0,http://exoplanet.eu/catalog/hd_66428_b/,http://exoplanets.org/detail/HD_66428_b,18.17,1.24,0,0,-66.9,1,0,-208.8,1.2,0,4.8,G8 IV (+ G),,0,0
